order_id,seller_id,customer_id,category,order_date,order_value,quantity
O0034071,S0048,C012094,Automotive,09-Jun-2024,56.06,4
O0020963,S0029,C000565,Toys,2024-11-07,18.34,4
O0009813,S0015,C023515,Grocery,18-Apr-2024,39.29,3
O0021151,S0029,C017396,Toys,2025-05-03,69.11,4
O0038633,S0054,C012617,Automotive,2024-10-03,$66.21,2
O0022299,S0030,C008467,Grocery,2025-12-16,21.2,2
O0012935,S0019,C015730,Fashion,2024-03-17,75.03,2
O0021353,S0029,C021936,Toys,2025-10-11,$37.74,4
O0031912,S0045,C019498,Automotive,09-Dec-2024,$20.62,4
O0038381,S0054,C015067,Automotive,03/17/2024,56.03,3
O0023379,S0032,,Automotive,2025-03-26,61.76,4
O0028009,S0038,C020645,Grocery,2025-06-23,13.78,2
O0014893,S0021,C014100,Beauty,2025-08-28,44.03,3
O0026595,S0036,C022686,Home & Kitchen,2025-06-23,145.92,2
O0040870,S0057,C012729,Beauty,2025-11-19,27.21,2
O0042952,S0060,C001688,Books,07/05/2025,34.84,1
O0006848,S0011,C004604,Toys,2024-08-23,$64.34,4
O0009710,S0015,C004439,Grocery,2024-01-06,16.61,4
O0001638,S0003,C003334,Automotive,08-Mar-2025,$38.11,3
O0034909,S0049,C011088,Pet Supplies,2024-12-10,37.32,2
O0031888,S0045,C019225,Automotive,2024-11-13,$80.17,3
O0014130,S0020,C000125,Toys,06-Nov-2024,84.49,4
O0020768,S0029,C016285,Toys,2024-05-26,69.2,2
O0020641,S0029,C000810,Toys,2024-01-10,18.77,4
O0006098,S0010,C017629,Toys,2025-01-15,70.94,3
O0004387,S0007,C022667,Automotive,2024-12-28,94.0,4
O0003032,S0005,C006333,Beauty,2025-04-28,35.23,3
O0019662,S0028,C009576,Beauty,2024-04-20,$31.44,2
O0007153,S0011,C024456,Toys,04/30/2025,38.56,3
O0029224,S0041,C005245,Automotive,2024-03-09,55.19,2
O0012940,S0019,C007066,Fashion,2024-03-25,21.3,4
O0015494,S0022,C005483,Fashion,12/15/2024,71.4,2
O0039597,S0055,C008018,Books,2025-11-10,61.51,4
O0038193,S0053,C011690,Books,2025-09-14,49.49,3
O0007542,S0012,C016525,Fashion,2024-01-22,107.87,1
O0027287,S0037,C024098,Grocery,2025-04-07,58.15,1
O0009136,S0014,C009782,Books,2024-07-18,50.03,2
O0017678,S0025,C013585,Automotive,2024-08-13,37.08,1
O0013112,S0019,C013077,Fashion,2024-07-19,95.96,4
O0024841,S0034,C005240,Beauty,2025-02-28,$63.37,1
O0032887,S0046,C011575,Sports,2024-11-21,49.59,2
O0011744,S0017,C013492,Fashion,09/14/2024,82.97,2
O0025424,S0035,C008259,Fashion,09/26/2024,49.0,3
O0037063,S0052,C023419,Pet Supplies,2024-05-22,15.5,3
O0031144,S0044,C012830,Sports,2024-12-31,50.18,3
O0031015,S0044,,Sports,2024-06-23,$30.59,4
O0002387,S0004,C024595,Electronics,2025-03-24,116.17,4
O0001604,S0003,C017911,Automotive,02/03/2025,24.15,3
O0002811,S0005,C009151,Beauty,2024-08-21,21.44,1
O0034155,S0048,C016468,Automotive,2024-09-23,14.68,3
O0009568,S0014,C009354,Books,2025-09-10,35.19,4
O0001086,S0003,C019126,Automotive,24-Jan-2024,$28.39,1
O0006563,S0011,C019900,Toys,2024-01-14,86.76,4
O0040035,S0056,C019678,Automotive,2025-08-03,88.15,2
O0025126,S0034,C008548,Beauty,2025-10-27,$46.10,2
O0008642,S0013,C011187,Pet Supplies,2024-10-27,21.08,4
O0026401,S0036,C024764,Home & Kitchen,2025-01-24,80.75,3
O0007867,S0012,C014415,Fashion,2024-09-22,53.02,1
O0022156,S0030,C016590,Grocery,04-Aug-2025,$28.75,2
O0034527,S0048,C023625,Automotive,2025-12-26,36.17,4
O0042039,S0059,C014790,Toys,06/08/2024,39.0,3
O0006241,S0010,C009539,Toys,05/03/2025,36.28,1
O0034801,S0049,C003107,Pet Supplies,2024-08-29,21.15,1
O0000684,S0002,C016075,Home & Kitchen,10-Aug-2024,44.32,3
O0008086,S0012,C003686,Fashion,2025-02-04,32.7,4
O0006288,S0010,,Toys,2025-06-08,46.97,4
O0021839,S0030,C010767,Grocery,2024-12-29,45.51,4
O0028760,S0040,C017161,Electronics,2024-07-27,25.29,4
O0000676,S0002,C018412,Home & Kitchen,2024-07-24,72.64,2
O0005554,S0009,C019389,Electronics,2025-12-21,36.24,4
O0021559,S0030,C009697,Grocery,2024-05-09,17.64,1
O0042525,S0059,C023125,Toys,2025-12-13,29.7,4
O0011920,S0017,C004936,Fashion,03/03/2025,57.68,3
O0010879,S0016,C001363,Pet Supplies,2024-11-12,71.3,2
O0008226,S0012,C008734,Fashion,2025-06-21,71.82,2
O0012081,S0017,C015295,Fashion,07/03/2025,$51.00,4
O0013116,S0019,C014609,Fashion,2024-07-28,153.26,1
O0034056,S0048,C017149,Automotive,23-Jun-2024,28.53,4
O0027040,S0037,C018699,Grocery,2024-07-07,47.16,3
O0003910,S0006,C018578,Automotive,2025-04-10,27.95,4
O0030088,S0042,C001553,Toys,2025-02-02,33.03,1
O0018642,S0026,C009875,Electronics,2025-08-28,19.57,4
O0041914,S0059,C008012,Toys,2024-03-08,29.59,4
O0037533,S0052,C009542,Pet Supplies,2025-05-20,75.26,3
O0035458,S0050,C020804,Fashion,2024-06-28,34.22,2
O0015588,S0022,C005954,Fashion,2025-03-23,54.95,4
O0025463,S0035,C012210,Fashion,2024-10-18,65.59,2
O0010844,S0016,C024896,Pet Supplies,2024-10-26,36.24,1
O0034600,S0049,C019780,Pet Supplies,2024-02-05,$35.98,4
O0006295,S0010,C019872,Toys,23-Jun-2025,$43.18,3
O0002532,S0004,C012672,Electronics,28-Oct-2025,33.87,4
O0031552,S0045,C023403,Automotive,2024-03-05,20.13,4
O0008324,S0012,C023026,Fashion,09/30/2025,79.34,1
O0042665,S0060,C001932,Books,2024-06-04,67.64,3
O0014900,S0021,C007869,Beauty,2025-08-08,41.14,4
O0003601,S0006,C010362,Automotive,09-Aug-2024,$26.83,3
O0006970,S0011,C007996,Toys,11/18/2024,58.03,4
O0028146,S0038,C000339,Grocery,2025-10-24,37.94,4
O0038886,S0054,C011357,Automotive,16-May-2025,57.8,3
O0033417,S0047,C015943,Home & Kitchen,2024-02-23,14.96,3
O0034730,S0049,C021867,Pet Supplies,17-Jun-2024,$63.30,2
O0017848,S0025,C018156,Automotive,2025-02-27,31.29,1
O0013837,S0019,C019998,Fashion,2025-12-15,$30.96,1
O0009484,S0014,C021055,Books,2025-06-08,54.3,2
O0008082,S0012,C007627,Fashion,2025-02-28,58.12,1
O0043027,S0060,C005736,Books,2025-09-29,19.34,3
O0005275,S0009,C015027,Electronics,2024-10-08,45.31,2
O0021557,S0030,C022733,Grocery,2024-04-18,46.38,2
O0010891,S0016,C022074,Pet Supplies,11/01/2024,29.86,1
O0029850,S0042,C001026,Toys,2024-07-17,27.77,3
O0020615,S0028,C012980,Beauty,2025-12-22,23.12,3
O0030123,S0042,C009824,Toys,23-Mar-2025,77.04,4
O0005853,S0010,C000704,Toys,2024-07-15,116.46,4
O0040054,S0056,C015847,Automotive,2025-09-08,71.57,1
O0011585,S0017,C016751,Fashion,2024-05-08,$32.03,1
O0036177,S0051,C008002,Sports,2024-06-20,21.43,3
O0021796,S0030,C020443,Grocery,2024-11-14,$39.44,4
O0004349,S0007,C017798,Automotive,09/25/2024,52.73,2
O0020940,S0029,C003610,Toys,2024-10-16,78.34,3
O0002556,S0004,C013359,Electronics,2025-11-17,70.91,2
O0011121,S0016,C001149,Pet Supplies,2025-05-23,42.74,4
O0027564,S0038,C017791,Grocery,2024-02-20,62.15,4
O0020631,S0029,C008481,Toys,2024-01-28,53.21,1
O0006686,S0011,C016688,Toys,04/20/2024,44.4,3
O0042808,S0060,C009630,Books,2024-12-29,70.32,3
O0009875,S0015,C008609,Grocery,2024-06-11,$66.41,2
O0005514,S0009,C009911,Electronics,2025-10-10,52.86,2
O0041786,S0058,C015561,Beauty,11/04/2025,120.18,1
O0032508,S0046,C023615,Sports,2024-02-09,47.38,1
O0022653,S0031,C006239,Home & Kitchen,2025-04-19,$53.32,1
O0038209,S0053,C024051,Books,2025-10-14,$21.37,2
O0042160,S0059,C015129,Toys,01-Nov-2024,34.91,1
O0015195,S0022,C012443,Fashion,25-May-2024,$29.90,3
O0038327,S0054,,Automotive,2024-02-05,23.42,1
O0040902,S0057,C024141,Beauty,2025-12-28,64.64,1
O0024364,S0033,C015393,Grocery,2025-12-29,20.4,2
O0041770,S0058,C003557,Beauty,2025-10-09,29.74,1
O0002452,S0004,C009227,Electronics,2025-06-23,21.05,4
O0003049,S0005,C012419,Beauty,2025-05-02,41.88,4
O0002638,S0005,C011100,Beauty,2024-02-21,69.71,4
O0029649,S0042,C021965,Toys,2024-03-27,18.24,2
O0020971,S0029,C019926,Toys,2024-11-18,97.12,3
O0014867,S0021,C009488,Beauty,2025-06-18,61.87,3
O0027313,S0037,C019243,Grocery,2025-04-09,20.95,1
O0032149,S0045,C022115,Automotive,06/07/2025,26.31,4
O0022246,S0030,C018568,Grocery,2025-11-11,50.25,1
O0032239,S0045,C012672,Automotive,2025-08-17,38.32,2
O0041796,S0058,C016874,Beauty,2025-11-13,80.31,2
O0002486,S0004,C021427,Electronics,2025-08-26,39.73,2
O0037496,S0052,C018818,Pet Supplies,2025-04-17,60.72,1
O0028266,S0039,C009742,Automotive,2024-03-10,43.24,1
O0022400,S0031,C008038,Home & Kitchen,2024-04-23,61.2,3
O0013594,S0019,C010604,Fashion,2025-06-06,154.01,4
O0033882,S0047,C011807,Home & Kitchen,2025-11-16,90.14,4
O0001239,S0003,C003067,Automotive,2024-05-12,$67.84,2
O0006357,S0010,C016942,Toys,07/22/2025,15.23,3
O0027191,S0037,C011906,Grocery,2024-12-08,38.29,1
O0033537,S0047,C019181,Home & Kitchen,2024-07-28,35.41,2
O0041290,S0058,C001726,Beauty,2024-10-06,44.17,4
O0014251,S0020,C006652,Toys,2025-04-12,$41.71,3
O0042261,S0059,C012499,Toys,2025-03-24,21.02,2
O0040562,S0057,C003037,Beauty,2025-02-19,33.71,2
O0021303,S0029,C021814,Toys,2025-09-03,36.43,2
O0003396,S0006,C011820,Automotive,01-Apr-2024,38.96,3
O0032601,S0046,C023520,Sports,04/14/2024,$34.68,1
O0039703,S0056,C007821,Automotive,2024-04-19,$35.73,1
O0026444,S0036,C017988,Home & Kitchen,2025-02-15,$18.14,4
O0011398,S0016,C017908,Pet Supplies,2025-12-16,38.77,1
O0026848,S0036,C006695,Home & Kitchen,2025-12-03,36.55,2
O0037211,S0052,C022455,Pet Supplies,2024-09-01,$31.53,3
O0017220,S0024,C004155,Grocery,03/03/2025,$74.19,2
O0039205,S0054,C001321,Automotive,2025-12-17,80.43,1
O0007611,S0012,C019010,Fashion,2024-02-29,25.27,2
O0017277,S0024,C021969,Grocery,16-May-2025,20.01,4
O0001800,S0003,C018533,Automotive,2025-07-29,16.74,3
O0024161,S0033,C013420,Grocery,2025-04-11,27.03,2
O0022634,S0031,C018593,Home & Kitchen,2025-03-23,68.36,2
O0023568,S0032,C016569,Automotive,09/14/2025,107.69,1
O0008577,S0013,C020939,Pet Supplies,2024-08-06,48.07,3
O0023221,S0032,C006164,Automotive,12/01/2024,11.99,3
O0030667,S0043,C009082,Home & Kitchen,2024-12-18,24.38,3
O0009234,S0014,C002473,Books,2024-10-25,65.14,4
O0019201,S0027,C018819,Toys,2025-02-02,9.94,4
O0020352,S0028,C000827,Beauty,2025-07-20,67.6,3
O0030957,S0044,C021571,Sports,2024-04-23,52.41,3
O0036741,S0051,C016657,Sports,2025-10-04,89.47,4
O0020896,S0029,C016137,Toys,2024-09-19,70.46,2
O0034165,S0048,C006771,Automotive,2024-10-02,67.27,2
O0018977,S0027,C008163,Toys,2024-07-26,22.24,2
O0037734,S0052,C020791,Pet Supplies,2025-09-03,19.16,3
O0011694,S0017,C001567,Fashion,2024-08-02,$74.92,1
O0034725,S0049,C013442,Pet Supplies,2024-06-05,63.79,3
O0030999,S0044,C013259,Sports,2024-06-19,18.29,4
O0011780,S0017,C010405,Fashion,2024-11-15,51.7,2
O0010224,S0015,C021229,Grocery,05/25/2025,32.34,2
O0008511,S0013,C016786,Pet Supplies,2024-03-08,44.51,3
O0014617,S0021,C015263,Beauty,2024-07-22,70.92,3
O0031846,S0045,C004029,Automotive,2024-11-14,33.32,3
O0004448,S0007,C019816,Automotive,2025-04-14,$57.61,2
O0041454,S0058,C007646,Beauty,03/03/2025,9.49,3
O0000045,S0001,C010287,Electronics,02/20/2024,124.6,1
O0008643,S0013,,Pet Supplies,2024-11-03,$39.42,2
O0020499,S0028,C021437,Beauty,30-Oct-2025,51.93,1
O0013989,S0020,C002891,Toys,09-May-2024,114.83,2
O0038024,S0053,C000217,Books,2024-11-17,24.55,1
O0042507,S0059,C009881,Toys,13-Nov-2025,63.86,1
O0037199,S0052,C002372,Pet Supplies,2024-09-05,55.99,2
O0014668,S0021,C015452,Beauty,2024-09-25,13.78,3
O0002258,S0004,C023018,Electronics,2024-10-11,70.39,2
O0030177,S0042,C014777,Toys,05/29/2025,9.59,1
O0007022,S0011,C014096,Toys,2024-12-01,23.31,1
O0016027,S0023,C000254,Automotive,02/18/2024,48.4,3
O0006211,S0010,C012949,Toys,2025-04-27,73.69,3
O0004904,S0008,C005503,Pet Supplies,2025-04-30,41.8,3
O0026350,S0036,C006242,Home & Kitchen,27-Dec-2024,31.38,2
O0007292,S0011,C001378,Toys,2025-07-07,70.2,2
O0027681,S0038,C023109,Grocery,2024-06-25,$18.83,1
O0023283,S0032,C008811,Automotive,2025-01-20,61.79,4
O0008937,S0014,C005747,Books,01-Jan-2024,44.8,3
O0013823,S0019,C001070,Fashion,2025-12-30,25.04,2
O0019446,S0027,C009909,Toys,2025-11-30,48.7,1
O0012283,S0017,C012662,Fashion,2025-12-18,25.68,2
O0029486,S0041,C021016,Automotive,2025-07-16,$49.12,1
O0013981,S0020,C004128,Toys,2024-05-09,31.15,1
O0002842,S0005,C013274,Beauty,2024-10-29,86.27,2
O0026756,S0036,C001353,Home & Kitchen,2025-10-11,42.8,1
O0041645,S0058,C010215,Beauty,2025-07-13,78.18,2
O0035595,S0050,C002679,Fashion,11/11/2024,77.44,3
O0015310,S0022,C012266,Fashion,2024-08-18,41.29,3
O0036552,S0051,C017428,Sports,2025-04-23,34.62,4
O0028757,S0040,C000160,Electronics,2024-07-19,63.52,1
O0018556,S0026,C008851,Electronics,14-Apr-2025,35.83,3
O0038447,S0054,C003823,Automotive,2024-05-22,66.96,2
O0009730,S0015,C006816,Grocery,2024-02-27,$99.25,4
O0031276,S0044,C006878,Sports,2025-06-07,106.01,3
O0003896,S0006,C015878,Automotive,2025-04-27,$39.30,1
O0029617,S0042,,Toys,2024-02-26,60.6,4
O0016206,S0023,C009343,Automotive,2024-07-10,51.0,1
O0035334,S0050,C024629,Fashion,06-Jan-2024,28.37,2
O0000340,S0001,C014909,Electronics,2025-05-05,34.75,3
O0020357,S0028,C003908,Beauty,2025-07-27,39.41,1
O0013008,S0019,C014320,Fashion,2024-04-04,27.15,3
O0023236,S0032,C005009,Automotive,2024-12-24,82.09,3
O0020006,S0028,C002776,Beauty,2024-11-17,56.93,4
O0022067,S0030,C002072,Grocery,2025-06-29,$45.44,1
O0012104,S0017,C012776,Fashion,2025-07-19,55.38,4
O0037001,S0052,C013341,Pet Supplies,2024-04-18,$36.04,4
O0005723,S0010,C015154,Toys,2024-04-12,37.95,2
O0037106,S0052,C006446,Pet Supplies,2024-06-28,59.93,1
O0005623,S0010,C011978,Toys,2024-02-11,55.92,2
O0007077,S0011,C010112,Toys,2025-02-11,$40.97,1
O0041987,S0059,C024654,Toys,2024-05-06,53.29,1
O0012891,S0019,C024187,Fashion,2024-01-25,$55.63,4
O0035983,S0050,C010381,Fashion,2025-12-28,37.17,2
O0001663,S0003,C001835,Automotive,20-Apr-2025,39.19,2
O0009876,S0015,C010953,Grocery,11-Jun-2024,19.69,4
O0000706,S0002,C021166,Home & Kitchen,09/14/2024,39.66,2
O0040300,S0057,C008222,Beauty,2024-06-23,$36.48,1
O0004306,S0007,C015360,Automotive,2024-07-21,57.91,4
O0021589,S0030,C019978,Grocery,2024-05-31,21.39,1
O0029876,S0042,C019964,Toys,2024-07-25,66.32,3
O0015829,S0022,C005839,Fashion,2025-09-10,$17.31,2
O0030773,S0043,C016793,Home & Kitchen,10-Jun-2025,35.77,1
O0009782,S0015,C022898,Grocery,2024-03-10,56.32,4
O0041743,S0058,C010648,Beauty,2025-10-21,32.6,4
O0016295,S0023,C020761,Automotive,2024-09-12,32.95,4
O0018303,S0026,C017760,Electronics,2024-04-11,$41.49,1
O0027939,S0038,C002603,Grocery,2025-04-23,68.72,4
O0024727,S0034,C006366,Beauty,2024-11-19,24.8,2
O0013059,S0019,C005313,Fashion,2024-05-27,63.74,2
O0004462,S0007,C016205,Automotive,2025-05-27,38.2,2
O0012550,S0018,C001922,Sports,2024-11-29,40.17,2
O0035187,S0049,C023401,Pet Supplies,2025-09-12,44.3,3
O0022187,S0030,C002418,Grocery,2025-09-27,58.41,4
O0021126,S0029,C011204,Toys,2025-03-02,45.55,1
O0012696,S0018,C020529,Sports,2025-06-17,38.2,3
O0003649,S0006,C001039,Automotive,2024-09-04,$54.63,1
O0017666,S0025,C003170,Automotive,2024-08-27,53.02,2
O0019811,S0028,C003246,Beauty,2024-07-10,59.52,2
O0024911,S0034,C006052,Beauty,2025-04-16,$69.30,1
O0001004,S0002,C024558,Home & Kitchen,2025-09-20,42.75,3
O0008315,S0012,C022349,Fashion,2025-09-05,76.2,2
O0000536,S0002,C021697,Home & Kitchen,2024-02-23,48.85,4
O0034041,S0048,C024043,Automotive,2024-05-31,44.9,3
O0041668,S0058,C004653,Beauty,2025-08-05,$65.48,4
O0001622,S0003,C021425,Automotive,2025-03-31,$43.01,3
O0012700,S0018,C014141,Sports,2025-06-01,46.44,1
O0015657,S0022,C016402,Fashion,2025-05-22,42.38,4
O0018740,S0026,C012254,Electronics,2025-12-13,$36.09,4
O0002005,S0004,C022312,Electronics,10-Jan-2024,35.68,2
O0004469,S0007,C015004,Automotive,2025-05-02,12.9,2
O0027936,S0038,C008813,Grocery,2025-04-06,31.0,2
O0006969,S0011,C021245,Toys,2024-11-12,54.37,1
