return_id,order_id,seller_id,return_date,return_reason,refund_amount,return_status
R0001160,O0014355,S0020,2025-08-18,Counterfeit suspected,69.81,Completed
R0000508,O0005806,S0010,2024-06-25,Counterfeit suspected,32.56,Completed
R0003867,O0038687,S0054,2025-01-14,Size/fit issue,59.52,Complete
R0000425,O0005111,S0009,2024-03-27,Counterfeit suspected,20.83,Completed
R0000963,O0011979,S0017,2025-04-20,Size/fit issue,33.31,Completed
R0002106,O0023974,S0033,2024-11-06,Better price found elsewhere,80.75,Completed
R0002948,O0030459,S0042,2025-12-17,Quality below expectation,94.5,Completed
R0002267,O0025079,S0034,2025-09-26,Damaged on arrival,46.82,Complete
R0001724,O0018962,S0027,2024-08-05,Item not as described,22.99,Pending
R0002020,O0022999,S0032,2024-06-01,Changed my mind,38.76,Completed
R0002408,O0026182,S0036,2024-09-09,Wrong item shipped,43.2,Completed
R0001678,O0018595,S0026,2025-06-08,Item not as described,81.47,Completed
R0001251,O0014991,S0021,2025-12-12,Size/fit issue,13.33,Pending
R0001222,O0014883,S0021,2025-07-17,Size/fit issue,49.61,Complete
R0003710,O0037363,S0052,2024-12-11,Better price found elsewhere,65.19,Completed
R0002675,O0028606,S0040,2024-02-04,Damaged on arrival,44.87,Completed
R0000601,O0006348,S0010,2025-07-24,Better price found elsewhere,62.42,Completed
R0003964,O0039088,S0054,2025-11-05,Unknown,45.36,Completed
R0004037,O0039872,S0056,2025-01-20,Damaged on arrival,44.64,Complete
R0000673,O0007467,S0011,2025-11-23,Better price found elsewhere,25.69,Completed
R0001615,O0018169,S0025,2025-12-01,Quality below expectation,38.34,Completed
R0003353,O0034752,S0049,2024-08-04,Unknown,50.09,Completed
R0001516,O0017718,S0025,2024-11-03,Counterfeit suspected,66.72,Completed
R0000552,O0005996,S0010,2024-12-01,Missing parts/accessories,37.73,Completed
R0004206,O0041166,S0058,2024-08-01,Size/fit issue,53.84,Complete
R0003156,O0032664,S0046,2024-07-16,Wrong item shipped,31.02,Completed
R0002442,O0026489,S0036,2025-03-28,Damaged on arrival,47.2,Pending
R0002350,O0025732,S0035,2025-08-21,Changed my mind,16.98,Completed
R0001420,O0016853,S0023,2026-01-04,Damaged on arrival,43.02,Completed
R0003784,O0038403,S0054,2024-05-07,Item not as described,51.97,Completed
R0000264,O0003203,S0005,2025-10-30,Damaged on arrival,23.18,Pending
R0002642,O0028477,S0039,2025-06-06,Damaged on arrival,38.03,Completed
R0000813,O0009459,S0014,2025-05-26,Changed my mind,38.98,Completed
R0002426,O0026312,S0036,2024-11-27,Size/fit issue,19.0,Completed
R0000912,O0011311,S0016,2025-10-31,Changed my mind,43.51,Completed
R0000072,O0001224,S0003,2024-06-17,Changed my mind,89.91,Completed
R0003721,O0037528,S0052,2025-05-26,Counterfeit suspected,44.82,Pending
R0000331,O0004094,S0006,2025-09-22,Late delivery,12.91,Completed
R0001564,O0017950,S0025,2025-05-22,Missing parts/accessories,24.32,Completed
R0001799,O0020312,S0028,2025-06-22,Damaged on arrival,25.66,Completed
R0000853,O0010332,S0015,2025-09-16,Changed my mind,22.44,Completed
R0002287,O0025153,S0034,2025-11-22,Damaged on arrival,26.11,Rejected
R0003616,O0036077,S0051,2024-02-14,Item not as described,59.8,Rejected
R0000162,O0001718,S0003,2025-05-14,Size/fit issue,46.74,Completed
R0001011,O0012418,S0018,2024-06-26,Missing parts/accessories,38.4,Completed
R0003145,O0032588,S0046,2024-05-16,Size/fit issue,41.11,Completed
R0001283,O0015194,S0022,2024-06-09,Counterfeit suspected,93.14,Completed
R0004329,O0042289,S0059,2025-04-19,Wrong item shipped,36.8,Pending
R0001316,O0015438,S0022,2024-11-15,Changed my mind,24.11,Completed
R0001348,O0015901,S0022,2025-11-13,Better price found elsewhere,19.27,Completed
R0003856,O0038635,S0054,2024-10-22,Item not as described,44.21,Complete
R0001703,O0018783,S0027,2024-02-17,Counterfeit suspected,89.41,Pending
R0002843,O0029398,S0041,2025-02-09,Changed my mind,12.28,Completed
R0002471,O0026992,S0037,2024-05-06,Size/fit issue,23.84,Completed
R0003634,O0036164,S0051,2024-05-28,Late delivery,76.88,Completed
R0000779,O0009085,S0014,2024-06-29,Counterfeit suspected,65.43,Complete
R0004147,O0040817,S0057,2025-10-14,Changed my mind,28.12,Completed
R0000189,O0001975,S0003,2025-12-23,Item not as described,64.38,Completed
R0004217,O0041380,S0058,2024-12-27,Changed my mind,64.42,Pending
R0000683,O0007631,S0012,2024-03-15,Counterfeit suspected,68.78,Completed
R0002513,O0027371,S0037,2025-07-20,Size/fit issue,74.46,Complete
R0002664,O0028552,S0039,2025-11-04,Item not as described,111.62,Completed
R0001980,O0022407,S0031,2024-06-11,Missing parts/accessories,50.72,Completed
R0003641,O0036224,S0051,2024-08-02,Item not as described,46.88,Completed
R0003772,O0038355,S0054,2024-04-01,Quality below expectation,25.47,Completed
R0001139,O0013984,S0020,2024-05-11,Item not as described,49.13,Completed
R0002162,O0024392,S0034,2024-02-02,Wrong item shipped,34.55,Pending
R0001992,O0022651,S0031,2025-04-25,Quality below expectation,26.47,Completed
R0000410,O0004849,S0008,2025-01-27,Size/fit issue,57.14,Completed
R0003454,O0035114,S0049,2025-07-05,Better price found elsewhere,39.54,Completed
R0000272,O0003345,S0006,2024-04-02,Damaged on arrival,11.62,Pending
R0003993,O0039175,S0054,2025-12-28,Quality below expectation,35.71,Completed
R0000946,O0011722,S0017,2024-09-20,Late delivery,52.27,Completed
R0001088,O0013123,S0019,2024-08-10,Item not as described,31.56,Completed
R0001171,O0014499,S0021,2024-02-29,Changed my mind,45.62,Complete
R0002538,O0027568,S0038,2024-03-15,Better price found elsewhere,48.46,Completed
R0003588,O0035918,S0050,2025-10-15,Damaged on arrival,84.23,Completed
R0000234,O0002637,S0005,2024-02-19,Item not as described,42.36,Rejected
R0002448,O0026698,S0036,2025-08-27,Size/fit issue,14.34,Completed
R0000457,O0005475,S0009,2025-09-09,Changed my mind,61.64,Complete
R0004022,O0039614,S0055,2026-01-07,Changed my mind,23.3,Rejected
R0002010,O0022893,S0032,2024-04-06,Changed my mind,37.05,Completed
R0000524,O0005848,S0010,2024-08-03,Better price found elsewhere,29.2,Completed
R0002726,O0028817,S0040,2024-11-07,Item not as described,19.64,Completed
R0003282,O0034403,S0048,2025-07-19,Wrong item shipped,44.61,Completed
R0001739,O0019065,S0027,2024-10-22,Size/fit issue,31.91,Completed
R0003563,O0035804,S0050,2025-06-04,Quality below expectation,18.93,Pending
R0001591,O0018047,S0025,2025-07-28,Unknown,40.65,Completed
R0000335,O0004117,S0006,2025-10-15,Late delivery,33.84,Complete
R0003693,O0037137,S0052,2024-08-03,Wrong item shipped,33.35,Completed
R0003798,O0038447,S0054,2024-06-08,Wrong item shipped,60.45,Completed
R0003309,O0034586,S0049,2024-03-09,Quality below expectation,88.15,Complete
R0003135,O0032551,S0046,2024-04-10,Changed my mind,88.26,Completed
R0001832,O0020730,S0029,2024-04-26,Quality below expectation,33.28,Completed
R0003171,O0032773,S0046,2024-08-30,Item not as described,22.82,Pending
R0001956,O0021950,S0030,2025-03-31,Changed my mind,111.45,Completed
R0000412,O0004941,S0008,2025-06-25,Late delivery,35.04,Completed
R0003113,O0032397,S0045,2025-11-21,Missing parts/accessories,102.23,Completed
R0000574,O0006183,S0010,2025-03-26,Counterfeit suspected,22.04,Completed
R0002973,O0030993,S0044,2024-05-13,Changed my mind,40.22,Completed
R0000726,O0008514,S0013,2024-03-21,Better price found elsewhere,31.85,Pending
R0004079,O0040463,S0057,2024-11-11,Late delivery,42.5,Completed
R0000465,O0005572,S0010,2024-02-02,Counterfeit suspected,30.39,Completed
R0002806,O0029163,S0040,2026-01-02,Wrong item shipped,73.2,Completed
R0001173,O0014512,S0021,2024-03-16,Item not as described,31.77,Completed
R0003268,O0034284,S0048,2025-03-11,Quality below expectation,7.87,Completed
R0003924,O0038907,S0054,2025-06-12,Item not as described,49.12,Completed
R0001544,O0017838,S0025,2025-01-21,Wrong item shipped,92.89,Completed
R0004173,O0040924,S0058,2024-02-05,Damaged on arrival,37.4,Complete
R0001421,O0016854,S0023,2025-12-21,Item not as described,30.89,Completed
R0001176,O0014549,S0021,2024-04-29,Damaged on arrival,78.63,Complete
R0000824,O0009817,S0015,2024-04-09,Item not as described,21.15,Completed
R0002686,O0028648,S0040,2024-04-13,Better price found elsewhere,76.57,Completed
R0000479,O0005611,S0010,2024-03-03,Wrong item shipped,44.31,Complete
R0000758,O0008944,S0014,2024-02-10,Changed my mind,20.12,Completed
R0001551,O0017886,S0025,2025-03-09,Counterfeit suspected,35.09,Completed
R0003505,O0035318,S0050,2024-01-14,Item not as described,48.61,Completed
R0001817,O0020646,S0029,2024-02-26,Wrong item shipped,73.32,Rejected
R0003725,O0037584,S0052,2025-07-09,Missing parts/accessories,42.31,Rejected
R0003855,O0038631,S0054,2024-11-03,Item not as described,23.18,Complete
R0001870,O0020930,S0029,2024-10-29,Counterfeit suspected,37.91,Completed
R0000714,O0008324,S0012,2025-10-03,Wrong item shipped,69.9,Rejected
R0001695,O0018706,S0026,2025-11-21,Damaged on arrival,22.55,Completed
R0002721,O0028800,S0040,2024-09-30,Counterfeit suspected,50.81,Complete
R0004019,O0039537,S0055,2025-07-18,Item not as described,74.45,Completed
R0003894,O0038781,S0054,2025-02-20,Item not as described,26.39,Completed
R0003604,O0035993,S0050,2026-01-11,Late delivery,58.35,Complete
R0001484,O0017558,S0025,2024-06-10,Wrong item shipped,69.96,Complete
R0003610,O0036025,S0051,2024-02-09,Wrong item shipped,82.27,Complete
R0002294,O0025181,S0034,2025-12-14,Wrong item shipped,48.39,Completed
R0003741,O0037916,S0053,2024-06-02,Unknown,14.42,Completed
R0000883,O0010774,S0016,2024-08-21,Changed my mind,19.61,Completed
R0001735,O0019030,S0027,2024-09-29,Counterfeit suspected,46.66,Complete
R0001305,O0015387,S0022,2024-11-06,Damaged on arrival,63.79,Completed
R0000212,O0002496,S0004,2025-08-12,Changed my mind,43.07,Completed
R0004060,O0040255,S0057,2024-05-06,Missing parts/accessories,53.04,Complete
R0002311,O0025300,S0035,2024-06-03,Better price found elsewhere,35.96,Completed
R0000145,O0001686,S0003,2025-04-22,Better price found elsewhere,44.98,Completed
R0000667,O0007356,S0011,2025-09-29,Unknown,41.86,Completed
R0001889,O0021241,S0029,2025-07-31,Changed my mind,21.12,Completed
R0000422,O0005078,S0009,2024-02-14,Damaged on arrival,33.59,Completed
R0000279,O0003427,S0006,2024-04-06,Item not as described,53.02,Completed
R0001888,O0021236,S0029,2025-07-09,Counterfeit suspected,79.25,Completed
R0003526,O0035486,S0050,2024-08-01,Better price found elsewhere,55.73,Completed
R0004155,O0040861,S0057,2025-11-24,Wrong item shipped,25.53,Complete
R0000093,O0001421,S0003,2024-10-29,Better price found elsewhere,50.53,Completed
R0001186,O0014644,S0021,2024-08-26,Damaged on arrival,63.03,Completed
R0004162,O0040898,S0057,2025-12-30,Changed my mind,131.5,Rejected
R0003417,O0034985,S0049,2025-02-12,Wrong item shipped,73.58,Completed
R0003670,O0036390,S0051,2024-12-07,Damaged on arrival,38.97,Completed
R0003771,O0038341,S0054,2024-02-19,Item not as described,39.64,Completed
R0002993,O0031361,S0044,2025-10-13,Item not as described,37.25,Completed
R0004135,O0040779,S0057,2025-10-01,Damaged on arrival,21.18,Completed
R0001769,O0019696,S0028,2024-06-13,Quality below expectation,66.33,Completed
R0001924,O0021652,S0030,2024-08-06,Size/fit issue,41.5,Completed
R0002168,O0024457,S0034,2024-02-27,Changed my mind,50.45,Rejected
R0001265,O0015096,S0022,2024-03-31,Late delivery,53.76,Pending
R0000420,O0005074,S0009,2024-02-14,Wrong item shipped,121.27,Completed
R0003750,O0038074,S0053,2025-02-22,Missing parts/accessories,55.72,Completed
R0003472,O0035180,S0049,2025-10-02,Wrong item shipped,35.87,Completed
R0003189,O0033018,S0046,2025-02-25,Damaged on arrival,32.58,Completed
R0000749,O0008921,S0014,2024-01-25,Counterfeit suspected,58.78,Pending
R0001900,O0021477,S0030,2024-02-23,Wrong item shipped,68.38,Completed
R0000040,O0000736,S0002,2024-11-26,Better price found elsewhere,20.56,Completed
R0002710,O0028746,S0040,2024-06-18,Unknown,56.99,Rejected
R0001491,O0017577,S0025,2024-07-09,Wrong item shipped,59.6,Rejected
R0001753,O0019224,S0027,2025-03-25,Better price found elsewhere,69.44,Completed
R0004422,O0042688,S0060,2024-08-14,Missing parts/accessories,38.53,Pending
R0003983,O0039155,S0054,2025-12-06,Item not as described,56.38,Completed
R0004158,O0040876,S0057,2025-11-22,Wrong item shipped,26.83,Complete
R0004116,O0040697,S0057,2025-07-07,Missing parts/accessories,30.85,Complete
R0004236,O0041480,S0058,2025-03-23,Wrong item shipped,34.87,Completed
R0002925,O0030273,S0042,2025-07-22,Damaged on arrival,66.5,Pending
R0003348,O0034739,S0049,2024-07-19,Damaged on arrival,18.02,Complete
R0002401,O0026138,S0036,2024-07-27,Counterfeit suspected,18.14,Completed
R0001206,O0014804,S0021,2025-05-02,Size/fit issue,77.4,Completed
R0001684,O0018609,S0026,2025-06-22,Item not as described,59.41,Rejected
R0000828,O0009914,S0015,2024-07-26,Quality below expectation,63.4,Completed
R0001361,O0015940,S0022,2025-11-22,Counterfeit suspected,28.84,Complete
R0000099,O0001447,S0003,2024-12-01,Item not as described,90.55,Completed
R0000430,O0005156,S0009,2024-05-12,Item not as described,34.22,Completed
R0002608,O0028342,S0039,2024-08-23,Wrong item shipped,41.78,Complete
R0002759,O0028960,S0040,2025-04-03,Better price found elsewhere,25.46,Completed
R0001960,O0022030,S0030,2025-05-15,Counterfeit suspected,23.16,Completed
R0001756,O0019332,S0027,2025-07-31,Counterfeit suspected,56.38,Completed
R0003996,O0039184,S0054,2025-12-23,Quality below expectation,37.19,Completed
R0001726,O0018996,S0027,2024-08-13,Better price found elsewhere,14.01,Completed
R0001480,O0017542,S0025,2024-04-23,Damaged on arrival,7.56,Pending
R0004188,O0041020,S0058,2024-03-06,Changed my mind,18.73,Complete
R0003459,O0035137,S0049,2025-07-18,Wrong item shipped,64.31,Complete
R0003912,O0038879,S0054,2025-05-29,Item not as described,60.91,Completed
R0000434,O0005181,S0009,2024-06-29,Missing parts/accessories,97.97,Rejected
R0001325,O0015578,S0022,2025-02-11,Late delivery,56.29,Completed
R0003277,O0034371,S0048,2025-06-07,Counterfeit suspected,55.03,Complete
R0003976,O0039128,S0054,2025-11-30,Damaged on arrival,24.55,Completed
R0003128,O0032518,S0046,2024-03-09,Size/fit issue,92.89,Completed
R0000167,O0001730,S0003,2025-05-23,Size/fit issue,113.33,Complete
R0000545,O0005966,S0010,2024-10-09,Wrong item shipped,47.6,Pending
R0000628,O0006487,S0010,2025-11-11,Counterfeit suspected,50.36,Pending
R0004242,O0041507,S0058,2025-04-18,Size/fit issue,43.86,Completed
R0002619,O0028389,S0039,2025-01-07,Size/fit issue,31.42,Completed
R0002182,O0024591,S0034,2024-06-20,Changed my mind,41.92,Completed
R0003411,O0034967,S0049,2025-03-12,Better price found elsewhere,16.25,Completed
R0003696,O0037185,S0052,2024-10-08,Better price found elsewhere,53.96,Completed
R0003318,O0034606,S0049,2024-02-23,Wrong item shipped,28.57,Completed
R0002965,O0030895,S0044,2024-01-27,Changed my mind,104.51,Completed
R0000867,O0010559,S0016,2024-03-27,Changed my mind,74.5,Completed
R0001555,O0017917,S0025,2025-05-02,Wrong item shipped,43.66,Completed
R0001810,O0020554,S0028,2025-11-07,Wrong item shipped,55.98,Completed
R0004431,O0043021,S0060,2025-09-27,Changed my mind,10.23,Completed
R0000449,O0005265,S0009,2024-10-22,Item not as described,69.7,Complete
R0001018,O0012440,S0018,2024-08-13,Changed my mind,44.55,Pending
R0001936,O0021711,S0030,2024-09-28,Changed my mind,20.44,Completed
R0001227,O0014914,S0021,2025-08-28,Missing parts/accessories,66.64,Completed
R0001193,O0014700,S0021,2024-10-18,Damaged on arrival,22.71,Completed
R0002120,O0024046,S0033,2025-01-07,Better price found elsewhere,53.53,Completed
R0000851,O0010257,S0015,2025-05-15,Quality below expectation,12.89,Complete
R0001159,O0014326,S0020,2025-07-12,Changed my mind,46.44,Completed
R0003089,O0032135,S0045,2025-07-10,Item not as described,46.8,Pending
R0003729,O0037634,S0052,2025-07-30,Item not as described,58.45,Completed
R0000693,O0007890,S0012,2024-09-26,Damaged on arrival,60.09,Completed
R0003045,O0031822,S0045,2024-10-26,Quality below expectation,32.79,Rejected
R0002270,O0025083,S0034,2025-09-14,Quality below expectation,24.58,Complete
R0002328,O0025532,S0035,2025-01-28,Changed my mind,57.25,Pending
R0000417,O0005044,S0008,2025-11-26,Quality below expectation,14.38,Pending
R0003286,O0034422,S0048,2025-07-23,Item not as described,116.5,Completed
R0004151,O0040841,S0057,2025-10-04,Better price found elsewhere,43.3,Completed
R0001124,O0013564,S0019,2025-06-21,Changed my mind,42.91,Completed
R0000862,O0010519,S0016,2024-02-29,Wrong item shipped,36.22,Completed
R0002019,O0022984,S0032,2024-06-13,Missing parts/accessories,40.85,Completed
R0001609,O0018137,S0025,2025-11-11,Unknown,35.98,Completed
R0001963,O0022148,S0030,2025-08-17,Damaged on arrival,127.34,Completed
R0003085,O0032056,S0045,2025-04-10,Counterfeit suspected,26.91,Completed
R0004070,O0040386,S0057,2024-08-20,Better price found elsewhere,31.52,Rejected
R0001795,O0020178,S0028,2025-04-07,Unknown,19.15,Completed
R0003034,O0031759,S0045,2024-10-13,Counterfeit suspected,18.55,Pending
R0000023,O0000469,S0001,2025-11-15,Better price found elsewhere,58.97,Completed
R0000506,O0005750,S0010,2024-05-23,Changed my mind,18.38,Complete
R0004241,O0041506,S0058,2025-04-27,Late delivery,61.57,Completed
R0000972,O0012014,S0017,2025-06-10,Changed my mind,72.39,Rejected
R0001818,O0020648,S0029,2024-02-24,Unknown,15.83,Completed
