review_id,seller_id,category,review_date,rating,review_text,sentiment_score,sentiment_category
REV00054,Apex Electronics,Electronics,2025-10-30,5,Very fast processor and crystal clear screen.,0.36,Positive
REV00055,Apex Electronics,Electronics,2025-11-05,4,"Amazing sound quality, best headphones ever.",0.48,Positive
REV00056,Apex Electronics,Electronics,2025-11-05,5,"Excellent phone, battery lasts 2 days!",0.79,Positive
REV00057,Apex Electronics,Electronics,2025-11-10,5,Very fast processor and crystal clear screen.,0.85,Positive
REV00058,Apex Electronics,Electronics,2025-11-16,5,"Amazing sound quality, best headphones ever.",0.5,Positive
REV00059,Apex Electronics,Electronics,2025-11-15,4,"Excellent phone, battery lasts 2 days!",0.65,Positive
REV00060,Apex Electronics,Electronics,2025-11-16,4,"Amazing sound quality, best headphones ever.",0.32,Positive
REV00061,Apex Electronics,Electronics,2025-11-21,4,Solid build and easy set up.,0.61,Positive
REV00062,Apex Electronics,Electronics,2025-11-19,4,Solid build and easy set up.,0.76,Positive
REV00063,Apex Electronics,Electronics,2025-11-24,5,"Excellent phone, battery lasts 2 days!",0.35,Positive
REV00064,Apex Electronics,Electronics,2025-12-01,4,"Highly recommend this gadget, works flawlessly.",0.49,Positive
REV00065,Apex Electronics,Electronics,2025-11-26,4,"Highly recommend this gadget, works flawlessly.",0.56,Positive
REV00066,Apex Electronics,Electronics,2025-11-29,5,"Highly recommend this gadget, works flawlessly.",0.35,Positive
REV00067,Apex Electronics,Electronics,2025-12-03,5,"Amazing sound quality, best headphones ever.",0.73,Positive
REV00068,Apex Electronics,Electronics,2025-12-07,3,"Took a bit long to ship, but works fine.",0.16,Neutral
REV00069,Apex Electronics,Electronics,2025-12-07,5,Very fast processor and crystal clear screen.,0.67,Positive
REV00070,Apex Electronics,Electronics,2025-12-15,5,"Highly recommend this gadget, works flawlessly.",0.32,Positive
REV00071,Apex Electronics,Electronics,2025-12-14,5,Solid build and easy set up.,0.58,Positive
REV00072,Apex Electronics,Electronics,2025-12-11,5,Very fast processor and crystal clear screen.,0.36,Positive
REV00073,Apex Electronics,Electronics,2025-12-21,4,Very fast processor and crystal clear screen.,0.68,Positive
REV00074,Apex Electronics,Electronics,2025-12-17,4,Solid build and easy set up.,0.6,Positive
REV00075,Apex Electronics,Electronics,2025-12-19,5,Solid build and easy set up.,0.4,Positive
REV00076,Apex Electronics,Electronics,2025-12-24,5,"Excellent phone, battery lasts 2 days!",0.69,Positive
REV00077,Apex Electronics,Electronics,2025-12-26,5,"Highly recommend this gadget, works flawlessly.",0.86,Positive
REV00078,Apex Electronics,Electronics,2025-12-24,3,Average quality for the price.,0.05,Neutral
REV00079,Apex Electronics,Electronics,2025-12-31,4,Solid build and easy set up.,0.49,Positive
REV00080,Apex Electronics,Electronics,2026-01-05,4,"Excellent phone, battery lasts 2 days!",0.81,Positive
REV00081,Apex Electronics,Electronics,2025-12-31,4,"Amazing sound quality, best headphones ever.",0.72,Positive
REV00082,Apex Electronics,Electronics,2026-01-08,4,Solid build and easy set up.,0.78,Positive
REV00083,Apex Electronics,Electronics,2026-01-12,4,Very fast processor and crystal clear screen.,0.52,Positive
REV00084,Apex Electronics,Electronics,2026-01-11,5,"Amazing sound quality, best headphones ever.",0.77,Positive
REV00085,Apex Electronics,Electronics,2026-01-18,5,"Highly recommend this gadget, works flawlessly.",0.8,Positive
REV00086,Apex Electronics,Electronics,2026-01-17,5,Solid build and easy set up.,0.49,Positive
REV00087,Apex Electronics,Electronics,2026-01-18,5,Very fast processor and crystal clear screen.,0.31,Positive
REV00088,Apex Electronics,Electronics,2026-01-26,5,Very fast processor and crystal clear screen.,0.57,Positive
REV00089,Apex Electronics,Electronics,2026-01-24,4,"Highly recommend this gadget, works flawlessly.",0.7,Positive
REV00090,Apex Electronics,Electronics,2026-01-24,4,"Highly recommend this gadget, works flawlessly.",0.75,Positive
REV00091,Apex Electronics,Electronics,2026-01-28,4,"Amazing sound quality, best headphones ever.",0.37,Positive
REV00092,Apex Electronics,Electronics,2026-01-29,5,Very fast processor and crystal clear screen.,0.39,Positive
REV00093,Apex Electronics,Electronics,2026-01-30,5,"Excellent phone, battery lasts 2 days!",0.36,Positive
REV00094,Apex Electronics,Electronics,2026-02-08,5,Solid build and easy set up.,0.89,Positive
REV00095,Apex Electronics,Electronics,2026-02-08,4,Very fast processor and crystal clear screen.,0.79,Positive
REV00096,Apex Electronics,Electronics,2026-02-04,4,Very fast processor and crystal clear screen.,0.87,Positive
REV00097,Apex Electronics,Electronics,2026-02-12,4,"Excellent phone, battery lasts 2 days!",0.58,Positive
REV00098,Apex Electronics,Electronics,2026-02-11,5,"Excellent phone, battery lasts 2 days!",0.33,Positive
REV00099,Apex Electronics,Electronics,2026-02-11,5,"Highly recommend this gadget, works flawlessly.",0.65,Positive
REV00100,Apex Electronics,Electronics,2026-02-20,5,Very fast processor and crystal clear screen.,0.88,Positive
REV00101,Apex Electronics,Electronics,2026-02-19,5,"Amazing sound quality, best headphones ever.",0.34,Positive
REV00102,Apex Electronics,Electronics,2026-02-19,4,Solid build and easy set up.,0.63,Positive
REV00103,Apex Electronics,Electronics,2026-03-01,4,Solid build and easy set up.,0.67,Positive
REV00104,Apex Electronics,Electronics,2026-02-26,5,"Amazing sound quality, best headphones ever.",0.47,Positive
REV00105,Apex Electronics,Electronics,2026-02-28,4,"Amazing sound quality, best headphones ever.",0.51,Positive
REV00106,Apex Electronics,Electronics,2026-03-04,4,"Excellent phone, battery lasts 2 days!",0.79,Positive
REV00107,Apex Electronics,Electronics,2026-03-06,4,"Amazing sound quality, best headphones ever.",0.85,Positive
REV00108,Apex Electronics,Electronics,2026-03-07,5,"Amazing sound quality, best headphones ever.",0.79,Positive
REV00109,Apex Electronics,Electronics,2026-03-16,5,"Excellent phone, battery lasts 2 days!",0.79,Positive
REV00110,Apex Electronics,Electronics,2026-03-11,5,"Excellent phone, battery lasts 2 days!",0.89,Positive
REV00111,Apex Electronics,Electronics,2026-03-16,5,"Amazing sound quality, best headphones ever.",0.53,Positive
REV00112,Apex Electronics,Electronics,2026-03-19,4,"Excellent phone, battery lasts 2 days!",0.82,Positive
REV00113,Apex Electronics,Electronics,2026-03-19,5,Very fast processor and crystal clear screen.,0.76,Positive
REV00114,Apex Electronics,Electronics,2026-03-21,5,Solid build and easy set up.,0.87,Positive
REV00115,Apex Electronics,Electronics,2026-03-26,5,"Amazing sound quality, best headphones ever.",0.51,Positive
REV00116,Apex Electronics,Electronics,2026-03-28,5,"Highly recommend this gadget, works flawlessly.",0.37,Positive
REV00117,Apex Electronics,Electronics,2026-03-25,5,Very fast processor and crystal clear screen.,0.76,Positive
REV00118,Apex Electronics,Electronics,2026-04-01,5,Solid build and easy set up.,0.32,Positive
REV00119,Apex Electronics,Electronics,2026-04-06,5,"Excellent phone, battery lasts 2 days!",0.72,Positive
REV00120,Apex Electronics,Electronics,2026-04-01,5,Solid build and easy set up.,0.43,Positive
REV00121,Apex Electronics,Electronics,2026-04-09,5,Very fast processor and crystal clear screen.,0.77,Positive
REV00122,Apex Electronics,Electronics,2026-04-11,3,"Decent item, fits reasonably well.",0.06,Neutral
REV00123,Apex Electronics,Electronics,2026-04-09,5,"Amazing sound quality, best headphones ever.",0.87,Positive
REV00124,Apex Electronics,Electronics,2026-04-16,5,"Excellent phone, battery lasts 2 days!",0.5,Positive
REV00125,Apex Electronics,Electronics,2026-04-15,4,"Amazing sound quality, best headphones ever.",0.35,Positive
REV00126,Apex Electronics,Electronics,2026-04-17,5,"Amazing sound quality, best headphones ever.",0.38,Positive
REV00127,Apex Electronics,Electronics,2026-04-24,5,"Amazing sound quality, best headphones ever.",0.4,Positive
REV00128,Apex Electronics,Electronics,2026-04-27,4,"Amazing sound quality, best headphones ever.",0.42,Positive
REV00129,Apex Electronics,Electronics,2026-04-27,4,Solid build and easy set up.,0.35,Positive
REV00130,Apex Electronics,Electronics,2026-04-30,4,"Amazing sound quality, best headphones ever.",0.78,Positive
REV00131,Apex Electronics,Electronics,2026-05-01,4,Very fast processor and crystal clear screen.,0.82,Positive
REV00132,Apex Electronics,Electronics,2026-04-29,5,Very fast processor and crystal clear screen.,0.85,Positive
REV00133,Apex Electronics,Electronics,2026-05-06,5,Solid build and easy set up.,0.52,Positive
REV00134,Apex Electronics,Electronics,2026-05-06,4,"Highly recommend this gadget, works flawlessly.",0.58,Positive
REV00135,Apex Electronics,Electronics,2026-05-10,5,"Excellent phone, battery lasts 2 days!",0.84,Positive
REV00136,Apex Electronics,Electronics,2026-05-17,4,Solid build and easy set up.,0.53,Positive
REV00137,Apex Electronics,Electronics,2026-05-13,4,Very fast processor and crystal clear screen.,0.37,Positive
REV00138,Apex Electronics,Electronics,2026-05-13,4,Solid build and easy set up.,0.83,Positive
REV00139,Apex Electronics,Electronics,2026-05-24,4,"Excellent phone, battery lasts 2 days!",0.38,Positive
REV00140,Apex Electronics,Electronics,2026-05-25,5,"Excellent phone, battery lasts 2 days!",0.47,Positive
REV00141,Apex Electronics,Electronics,2026-05-23,5,Very fast processor and crystal clear screen.,0.64,Positive
REV00142,Apex Electronics,Electronics,2026-05-28,3,"It does what it says, but feels a bit lightweight.",-0.04,Neutral
REV00143,Apex Electronics,Electronics,2026-05-31,4,Solid build and easy set up.,0.4,Positive
REV00144,Apex Electronics,Electronics,2026-05-31,4,"Excellent phone, battery lasts 2 days!",0.84,Positive
REV00145,Apex Electronics,Electronics,2026-06-08,5,"Amazing sound quality, best headphones ever.",0.45,Positive
REV00146,Apex Electronics,Electronics,2026-06-07,5,Solid build and easy set up.,0.4,Positive
REV00147,Apex Electronics,Electronics,2026-06-05,5,Solid build and easy set up.,0.63,Positive
REV00148,Apex Electronics,Electronics,2026-06-15,5,Very fast processor and crystal clear screen.,0.45,Positive
REV00149,Apex Electronics,Electronics,2026-06-11,5,"Highly recommend this gadget, works flawlessly.",0.47,Positive
REV00150,Apex Electronics,Electronics,2026-06-13,4,"Highly recommend this gadget, works flawlessly.",0.65,Positive
REV00151,Apex Electronics,Electronics,2026-06-20,4,"Highly recommend this gadget, works flawlessly.",0.71,Positive
REV00152,Apex Electronics,Electronics,2026-06-17,5,"Highly recommend this gadget, works flawlessly.",0.76,Positive
REV00153,Apex Electronics,Electronics,2026-06-20,4,"Excellent phone, battery lasts 2 days!",0.55,Positive
REV00154,Apex Electronics,Electronics,2026-06-24,5,Solid build and easy set up.,0.41,Positive
REV00155,Apex Electronics,Electronics,2026-06-28,4,"Excellent phone, battery lasts 2 days!",0.64,Positive
REV00156,Apex Electronics,Electronics,2026-06-28,4,Very fast processor and crystal clear screen.,0.81,Positive
REV00157,TechZone,Electronics,2025-07-04,5,Very fast processor and crystal clear screen.,0.54,Positive
REV00158,TechZone,Electronics,2025-07-03,4,"Excellent phone, battery lasts 2 days!",0.79,Positive
REV00159,TechZone,Electronics,2025-07-04,3,"Took a bit long to ship, but works fine.",0.09,Neutral
REV00160,TechZone,Electronics,2025-07-13,4,"Amazing sound quality, best headphones ever.",0.67,Positive
REV00161,TechZone,Electronics,2025-07-13,3,"Took a bit long to ship, but works fine.",-0.04,Neutral
REV00162,TechZone,Electronics,2025-07-09,5,Solid build and easy set up.,0.78,Positive
REV00163,TechZone,Electronics,2025-07-18,5,Solid build and easy set up.,0.76,Positive
REV00164,TechZone,Electronics,2025-07-17,4,"Excellent phone, battery lasts 2 days!",0.83,Positive
REV00165,TechZone,Electronics,2025-07-16,5,"Highly recommend this gadget, works flawlessly.",0.37,Positive
REV00166,TechZone,Electronics,2025-07-24,4,Solid build and easy set up.,0.68,Positive
REV00167,TechZone,Electronics,2025-07-25,5,"Highly recommend this gadget, works flawlessly.",0.45,Positive
REV00168,TechZone,Electronics,2025-07-24,5,Solid build and easy set up.,0.51,Positive
REV00169,TechZone,Electronics,2025-07-31,5,"Highly recommend this gadget, works flawlessly.",0.31,Positive
REV00170,TechZone,Electronics,2025-08-03,5,"Highly recommend this gadget, works flawlessly.",0.82,Positive
REV00171,TechZone,Electronics,2025-08-01,5,"Amazing sound quality, best headphones ever.",0.72,Positive
REV00172,TechZone,Electronics,2025-08-11,5,"Excellent phone, battery lasts 2 days!",0.86,Positive
REV00173,TechZone,Electronics,2025-08-08,4,"Amazing sound quality, best headphones ever.",0.89,Positive
REV00174,TechZone,Electronics,2025-08-06,4,"Excellent phone, battery lasts 2 days!",0.8,Positive
REV00175,TechZone,Electronics,2025-08-18,4,Very fast processor and crystal clear screen.,0.62,Positive
REV00176,TechZone,Electronics,2025-08-14,3,"Took a bit long to ship, but works fine.",0.27,Neutral
REV00177,TechZone,Electronics,2025-08-17,4,"Amazing sound quality, best headphones ever.",0.74,Positive
REV00178,TechZone,Electronics,2025-08-24,4,"Amazing sound quality, best headphones ever.",0.52,Positive
REV00179,TechZone,Electronics,2025-08-20,5,"Excellent phone, battery lasts 2 days!",0.31,Positive
REV00180,TechZone,Electronics,2025-08-25,5,"Excellent phone, battery lasts 2 days!",0.7,Positive
REV00181,TechZone,Electronics,2025-08-27,5,Solid build and easy set up.,0.43,Positive
REV00182,TechZone,Electronics,2025-08-31,5,"Highly recommend this gadget, works flawlessly.",0.84,Positive
REV00183,TechZone,Electronics,2025-08-28,4,Solid build and easy set up.,0.32,Positive
REV00184,TechZone,Electronics,2025-09-03,4,Very fast processor and crystal clear screen.,0.64,Positive
REV00185,TechZone,Electronics,2025-09-05,4,"Highly recommend this gadget, works flawlessly.",0.82,Positive
REV00186,TechZone,Electronics,2025-09-05,4,"Excellent phone, battery lasts 2 days!",0.87,Positive
REV00187,TechZone,Electronics,2025-09-15,5,Very fast processor and crystal clear screen.,0.31,Positive
REV00188,TechZone,Electronics,2025-09-12,4,"Excellent phone, battery lasts 2 days!",0.36,Positive
REV00189,TechZone,Electronics,2025-09-13,4,Solid build and easy set up.,0.69,Positive
REV00190,TechZone,Electronics,2025-09-18,5,Very fast processor and crystal clear screen.,0.42,Positive
REV00191,TechZone,Electronics,2025-09-18,5,Very fast processor and crystal clear screen.,0.31,Positive
REV00192,TechZone,Electronics,2025-09-17,4,"Amazing sound quality, best headphones ever.",0.35,Positive
REV00193,TechZone,Electronics,2025-09-27,4,"Highly recommend this gadget, works flawlessly.",0.65,Positive
REV00194,TechZone,Electronics,2025-09-26,4,Very fast processor and crystal clear screen.,0.46,Positive
REV00195,TechZone,Electronics,2025-09-29,4,Very fast processor and crystal clear screen.,0.63,Positive
REV00196,TechZone,Electronics,2025-10-01,5,"Amazing sound quality, best headphones ever.",0.78,Positive
REV00197,TechZone,Electronics,2025-10-02,4,"Amazing sound quality, best headphones ever.",0.46,Positive
REV00198,TechZone,Electronics,2025-10-04,5,Very fast processor and crystal clear screen.,0.62,Positive
REV00199,TechZone,Electronics,2025-10-09,5,"Highly recommend this gadget, works flawlessly.",0.46,Positive
REV00200,TechZone,Electronics,2025-10-08,4,Very fast processor and crystal clear screen.,0.63,Positive
REV00201,TechZone,Electronics,2025-10-11,5,Very fast processor and crystal clear screen.,0.42,Positive
REV00202,TechZone,Electronics,2025-10-15,5,"Highly recommend this gadget, works flawlessly.",0.85,Positive
REV00203,TechZone,Electronics,2025-10-17,3,"Took a bit long to ship, but works fine.",0.11,Neutral
REV00204,TechZone,Electronics,2025-10-18,4,Solid build and easy set up.,0.33,Positive
REV00205,TechZone,Electronics,2025-10-24,4,Solid build and easy set up.,0.64,Positive
REV00206,TechZone,Electronics,2025-10-22,5,"Excellent phone, battery lasts 2 days!",0.59,Positive
REV00207,TechZone,Electronics,2025-10-23,5,"Highly recommend this gadget, works flawlessly.",0.74,Positive
REV00208,TechZone,Electronics,2025-10-29,5,"Highly recommend this gadget, works flawlessly.",0.76,Positive
REV00209,TechZone,Electronics,2025-11-02,5,"Excellent phone, battery lasts 2 days!",0.71,Positive
REV00210,TechZone,Electronics,2025-10-31,5,"Amazing sound quality, best headphones ever.",0.56,Positive
REV00211,TechZone,Electronics,2025-11-08,5,"Highly recommend this gadget, works flawlessly.",0.41,Positive
REV00212,TechZone,Electronics,2025-11-09,5,Solid build and easy set up.,0.63,Positive
REV00213,TechZone,Electronics,2025-11-08,5,"Excellent phone, battery lasts 2 days!",0.78,Positive
REV00214,TechZone,Electronics,2025-11-14,5,Very fast processor and crystal clear screen.,0.32,Positive
REV00215,TechZone,Electronics,2025-11-17,5,"Excellent phone, battery lasts 2 days!",0.41,Positive
REV00216,TechZone,Electronics,2025-11-12,5,"Amazing sound quality, best headphones ever.",0.64,Positive
REV00217,TechZone,Electronics,2025-11-24,5,Solid build and easy set up.,0.49,Positive
REV00218,TechZone,Electronics,2025-11-21,5,Very fast processor and crystal clear screen.,0.8,Positive
REV00219,TechZone,Electronics,2025-11-19,5,"Amazing sound quality, best headphones ever.",0.44,Positive
REV00220,TechZone,Electronics,2025-11-30,4,"Highly recommend this gadget, works flawlessly.",0.77,Positive
REV00221,TechZone,Electronics,2025-12-01,5,"Highly recommend this gadget, works flawlessly.",0.83,Positive
REV00222,TechZone,Electronics,2025-12-01,3,"Product is okay, nothing special.",0.15,Neutral
REV00223,TechZone,Electronics,2025-12-05,4,Solid build and easy set up.,0.59,Positive
REV00224,TechZone,Electronics,2025-12-05,5,"Amazing sound quality, best headphones ever.",0.68,Positive
REV00225,TechZone,Electronics,2025-12-08,4,"Amazing sound quality, best headphones ever.",0.55,Positive
REV00226,TechZone,Electronics,2025-12-11,5,Solid build and easy set up.,0.31,Positive
REV00227,TechZone,Electronics,2025-12-13,4,Very fast processor and crystal clear screen.,0.53,Positive
REV00228,TechZone,Electronics,2025-12-15,5,"Amazing sound quality, best headphones ever.",0.71,Positive
REV00229,TechZone,Electronics,2025-12-21,4,Very fast processor and crystal clear screen.,0.89,Positive
REV00230,TechZone,Electronics,2025-12-19,5,Solid build and easy set up.,0.44,Positive
REV00231,TechZone,Electronics,2025-12-21,5,"Amazing sound quality, best headphones ever.",0.66,Positive
REV00232,TechZone,Electronics,2025-12-26,5,"Highly recommend this gadget, works flawlessly.",0.88,Positive
REV00233,TechZone,Electronics,2025-12-27,5,Very fast processor and crystal clear screen.,0.72,Positive
REV00234,TechZone,Electronics,2025-12-28,4,Solid build and easy set up.,0.39,Positive
REV00235,TechZone,Electronics,2026-01-03,4,"Highly recommend this gadget, works flawlessly.",0.83,Positive
REV00236,TechZone,Electronics,2026-01-03,4,"Amazing sound quality, best headphones ever.",0.87,Positive
REV00237,TechZone,Electronics,2026-01-04,5,Very fast processor and crystal clear screen.,0.69,Positive
REV00238,TechZone,Electronics,2026-01-12,5,Very fast processor and crystal clear screen.,0.43,Positive
REV00239,TechZone,Electronics,2026-01-09,4,"Excellent phone, battery lasts 2 days!",0.81,Positive
REV00240,TechZone,Electronics,2026-01-12,5,Solid build and easy set up.,0.6,Positive
REV00241,TechZone,Electronics,2026-01-16,5,Solid build and easy set up.,0.81,Positive
REV00242,TechZone,Electronics,2026-01-15,5,"Excellent phone, battery lasts 2 days!",0.82,Positive
REV00243,TechZone,Electronics,2026-01-15,5,"Highly recommend this gadget, works flawlessly.",0.72,Positive
REV00244,TechZone,Electronics,2026-01-21,5,Very fast processor and crystal clear screen.,0.38,Positive
REV00245,TechZone,Electronics,2026-01-22,5,"Excellent phone, battery lasts 2 days!",0.4,Positive
REV00246,TechZone,Electronics,2026-01-25,4,"Amazing sound quality, best headphones ever.",0.79,Positive
REV00247,TechZone,Electronics,2026-01-31,2,Cheap copy of the branded product. Fake!,-0.37,Negative
REV00248,TechZone,Electronics,2026-01-31,2,Cheap copy of the branded product. Fake!,-0.52,Negative
REV00249,TechZone,Electronics,2026-01-29,2,Defective unit. Will not turn on. Returning immediately.,-0.46,Negative
REV00250,TechZone,Electronics,2026-02-07,2,Warning: Fake counterfeit item. Not original brand!,-0.47,Negative
REV00251,TechZone,Electronics,2026-02-09,1,"This is a scam. Counterfeit copy, serial number is invalid.",-0.37,Negative
REV00252,TechZone,Electronics,2026-02-08,2,Arrived damaged and scratched. Packaging was terrible.,-0.88,Negative
REV00253,TechZone,Electronics,2026-02-14,3,"Product is okay, nothing special.",0.18,Neutral
REV00254,TechZone,Electronics,2026-02-16,2,Cheap copy of the branded product. Fake!,-0.75,Negative
REV00255,TechZone,Electronics,2026-02-15,3,"It does what it says, but feels a bit lightweight.",0.16,Neutral
REV00256,TechZone,Electronics,2026-02-22,2,Item doesn't work at all. Completely dead on arrival.,-0.61,Negative
REV00257,TechZone,Electronics,2026-02-21,2,"Damaged in transit, fluid was leaking everywhere.",-0.75,Negative
REV00258,TechZone,Electronics,2026-02-21,2,Cheap copy of the branded product. Fake!,-0.88,Negative
REV00259,TechZone,Electronics,2026-03-02,3,Average quality for the price.,-0.05,Neutral
REV00260,TechZone,Electronics,2026-03-01,3,"Took a bit long to ship, but works fine.",-0.09,Neutral
REV00261,TechZone,Electronics,2026-02-27,2,Defective unit. Will not turn on. Returning immediately.,-0.34,Negative
REV00262,TechZone,Electronics,2026-03-05,2,Not original as advertised. Avoid this seller.,-0.34,Negative
REV00263,TechZone,Electronics,2026-03-06,2,Broke after 2 days. The charging port doesn't work.,-0.89,Negative
REV00264,TechZone,Electronics,2026-03-05,1,"This is a scam. Counterfeit copy, serial number is invalid.",-0.85,Negative
REV00265,TechZone,Electronics,2026-03-16,2,Defective unit. Will not turn on. Returning immediately.,-0.47,Negative
REV00266,TechZone,Electronics,2026-03-14,1,Warning: Fake counterfeit item. Not original brand!,-0.41,Negative
REV00267,TechZone,Electronics,2026-03-15,2,Broke after 2 days. The charging port doesn't work.,-0.67,Negative
REV00268,TechZone,Electronics,2026-03-19,2,Arrived damaged and scratched. Packaging was terrible.,-0.76,Negative
REV00269,TechZone,Electronics,2026-03-21,3,"Decent item, fits reasonably well.",-0.09,Neutral
REV00270,TechZone,Electronics,2026-03-23,3,"It does what it says, but feels a bit lightweight.",0.27,Neutral
REV00271,TechZone,Electronics,2026-03-28,3,"It does what it says, but feels a bit lightweight.",0.08,Neutral
REV00272,TechZone,Electronics,2026-03-27,2,Arrived damaged and scratched. Packaging was terrible.,-0.45,Negative
REV00273,TechZone,Electronics,2026-03-28,4,"Highly recommend this gadget, works flawlessly.",0.35,Positive
REV00274,TechZone,Electronics,2026-04-02,2,Cheap copy of the branded product. Fake!,-0.55,Negative
REV00275,TechZone,Electronics,2026-04-04,3,"Took a bit long to ship, but works fine.",-0.01,Neutral
